title,relation,predicate,str
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://ru.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:abstract,"!!! (qui se prononce tchik tchik tchik ou, à la convenance, toute autre syllabe répétée trois fois) est un groupe de rock indépendant américain, originaire de Sacramento, en Californie. Il est formé pendant l'été 1995 de la fusion d'une partie des groupes Black Liquorice et Popesmashers. Ce nom à but anticonformiste a l'inconvénient d'être, selon Spin Magazine, « le plus dur des noms de groupe pour Google ». Leur label a tenté de leur faire adopter chk chk chk pour améliorer leur présence sur internet. En effet, la recherche Google !!! ne renvoie aucun résultat. (@fr)"
http://dbpedia.org/resource/%21%21%21,direct,dbo:abstract,"!!! es un grupo de música Dance punk estadounidense formado en 1996. Aunque la mayoría de sus miembros vivían originalmente en Sacramento, California hoy en día tiene como base de operaciones la ciudad de Nueva York. El grupo está compuesto por (guitarras), (trompeta, percusión y teclado), (voces), (guitarras y dispositivos electrónicos), (batería y voces), (bajo y efectos) y (trompeta, percusión y teclado). (@es)"
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://rdf.freebase.com/ns/m.02v7jt
http://dbpedia.org/resource/%21%21%21,direct,dbo:hometown,"http://dbpedia.org/resource/Sacramento,_California"
http://dbpedia.org/resource/%21%21%21,direct,dbp:associatedActs,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:abstract,"!!! (произносится chk chk chk, что теоретически имитирует щёлкающие согласные) — американская группа, созданная осенью 1996 года после совместного тура членов местных групп The Yah Mos, Black Liquorice и Popesmashers. Название группы было вдохновлено субтитрами фильма «Наверное, боги сошли с ума», в котором щёлкающие звуки языка бушменов представлялись как «!». (@ru)"
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageExternalLink,http://nl.newsbank.com/nl-search/we/Archives%3Fp_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=10E9E4D5950028E0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Category:Dance-punk_musical_groups
http://dbpedia.org/resource/%21%21%21,direct,dbo:alias,Chk Chk Chk (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://no.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:background,group_or_band
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Louden_Up_Now
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://et.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:label, (@en)
http://dbpedia.org/resource/%21%21%21,direct,foaf:isPrimaryTopicOf,http://en.wikipedia.org/wiki/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdfs:label,!!! (@nl)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:associatedBand,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://umbel.org/umbel/rc/Band_MusicGroup
http://dbpedia.org/resource/%21%21%21,direct,dbp:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Authority_control
http://dbpedia.org/resource/%21%21%21,direct,dbp:artist,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:pastMembers,Tyler Pope (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:spinoffOf, (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://dbpedia.org/class/yago/SocialGroup107950920
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:pastMembers, (@en)
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/dc/terms/subject,"http://dbpedia.org/resource/Category:Musical_groups_from_Sacramento,_California"
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Flow_Festival
http://dbpedia.org/resource/%21%21%21,direct,foaf:homepage,http://lescharts.com
http://dbpedia.org/resource/%21%21%21,direct,dbo:associatedBand,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Nate_Dogg
http://dbpedia.org/resource/%21%21%21,direct,dbo:abstract,"( 이 문서는 미국의 댄스 펑크 밴드에 관한 것입니다. 강조를 나타내는 문장 부호에 대해서는 ! 문서를 참고하십시오.)( 음반에 대해서는 !!! (음반) 문서를 참고하십시오.)
!!!(칙칙칙/ˈtʃɪk ˈtʃɪk ˈtʃɪk/으로 읽음)은 1996년 결성된 미국의 댄스 펑크 밴드이다. ""Me and Giuliani Down by the Schoolyard (a true story)""나 ""Must Be the Moon""로 알려졌다. 새크라멘토 출신이지만 지금은 뉴욕, 새크라멘토, 포틀랜드에 기반을 두고 있다. !!!은 마리오 안드레오니(기타), 댄 고먼(관악/타악/건반), 닉 오퍼(보컬), 타일러 포프(베이스/일렉트로닉), 앨런 윌슨(관악/타악/건반) 등의 멤버로 구성된다. 투어 구성원으로는 섀넌 펀치스(보컬)과 폴 쿼트론(드럼)이 있다. 예전에는 아웃 허드(Out Hud)와 타일러 포프와도 협연하였으나 지금 아웃 허드는 해체된 상황이다. 또 옛 구성원으로 보컬과 드럼을 맡았던 존 퍼가 있었지만 2007년 7월 새 밴드인 프리 블러드에 집중하겠다는 이유로 밴드에서 탈퇴하였다. (@ko)"
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Musical_groups_established_in_1996
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Cite_news
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdfs:comment,!!! (Chk Chk Chk) – amerykański zespół indie rockowy założony w Sacramento w 1996 roku. Przy wymawianiu nazwy zespołu w miejscu trzech wykrzykników powinno się trzykrotnie wymówić dowolny jednozgłoskowy dźwięk. (@pl)
http://dbpedia.org/resource/%21%21%21,direct,dbo:associatedMusicalArtist,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:caption,!!! performing at the Flow Festival in 2007 (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbp:pastMembers,Mikel Gius (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Nic_Offer
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Band
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:genre,http://dbpedia.org/resource/Indietronica
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Touch_and_Go_Records_artists
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://eo.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:associatedBand,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Thr!!!er
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Cake_(band)
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://eu.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Dance/Electronic_Albums
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,"http://dbpedia.org/resource/Category:Musical_groups_from_Sacramento,_California"
http://dbpedia.org/resource/%21%21%21,direct,rdfs:comment,"!!! (uttalas ibland Chk chk chk) är ett amerikanskt indierockband bildat 1996. Bandet är ifrån Sacramento, Kalifornien, USA. (@sv)"
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://dbpedia.org/class/yago/WikicatMusicalGroupsFromNewYorkCity
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://dbpedia.org/ontology/Agent
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:URL
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://dbpedia.org/class/yago/DanceBand108249960
http://dbpedia.org/resource/%21%21%21,direct,dbp:alias,Chk Chk Chk (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdfs:label,!!! (@es)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/File:Coachella2004_ChkChkChk.jpg
http://dbpedia.org/resource/%21%21%21,direct,dbp:currentMembers, (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbp:wordnet_type,http://www.w3.org/2006/03/wn/wn20/instances/synset-musician-noun-1
http://dbpedia.org/resource/%21%21%21,direct,dbo:artist,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:url,https://web.archive.org/web/20190807185821/https:/www.paradigmagency.com/music/chk-chk-chk/
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Category:Musical_groups_established_in_1996
http://dbpedia.org/resource/%21%21%21,direct,rdfs:label,!!! (@de)
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:1996_establishments_in_California
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://gl.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://www.wikidata.org/entity/Q215380
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Indie_rock_musical_groups_from_California
http://dbpedia.org/resource/%21%21%21,direct,dbo:abstract,"!!! (/tʃ(ɪ)k.tʃ(ɪ)k.tʃ(ɪ)k/ ch(i)k-ch(i)k-ch(i)k), also known as Chk Chk Chk, is an American rock band from Sacramento, California, formed in 1996 by lead singer Nic Offer. Members of !!! came from other local bands such as the Yah Mos, Black Liquorice and Pope Smashers. They are currently based in New York City. The band's ninth album, Let It Be Blue, was released in May 2022. (@en)"
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:artist,http://dbpedia.org/resource/!!!
